time,seconds_elapsed,lux
1742660711815944700,0.01194482421875,21
1742660712015955500,0.21195556640625,24
1742660712216036000,0.4120361328125,27
1742660712415892500,0.611892578125,51
1742660712815944700,1.01194482421875,53
1742660713015968500,1.211968505859375,50
1742660713215939300,1.411939208984375,48
1742660713416045600,1.612045654296875,15
1742660713615997400,1.81199755859375,18
1742660713815563800,2.011563720703125,27
1742660714215947500,2.411947509765625,25
1742660714415951000,2.611951171875,18
1742660714616058600,2.81205859375,5
1742660714816057300,3.012057373046875,1
1742660715415948000,3.611947998046875,0
1742661403674757400,691.8707573242187,46
1742661403873939500,692.069939453125,49
1742661404074213600,692.2702136230469,48
1742661404274137000,692.4701372070313,53
1742661404474247200,692.6702470703125,85
1742661404674299400,692.8702993164062,169
1742661404873505800,693.069505859375,119
1742661405074009000,693.2700090332031,80
1742661405273080800,693.4690808105469,59
1742661405474147600,693.6701477050781,53
1742661405674233000,693.8702331542969,56
1742661405874206700,694.0702067871093,59
1742661406073022500,694.2690224609375,87
1742661406272971500,694.4689714355469,96
1742661406473934600,694.6699345703125,99
1742661406674131200,694.8701311035156,104
1742661406874112300,695.0701123046875,103
1742661407074249000,695.2702490234375,90
1742661407272964000,695.4689641113281,55
1742661407472944400,695.6689443359375,28
1742661407673918700,695.8699187011719,167
1742661407874109400,696.070109375,26
1742661408074122500,696.2701225585937,32
1742661408274206700,696.4702067871094,22
1742661408474236200,696.6702360839844,19
1742661408674155500,696.8701555175782,10
1742661408873954000,697.0699541015625,7
1742661409274101000,697.4701010742187,10
1742661409474246000,697.6702458496094,6
1742661409674249200,697.8702492675782,4
1742661409873044200,698.0690441894532,3
1742661410474170600,698.6701706542968,2
1742661410674153700,698.8701538085937,3
1742661410874232800,699.0702329101563,23
1742661411074306000,699.2703061523438,20
1742661411274140000,699.4701398925781,19
1742661411473931500,699.669931640625,28
1742661411673074700,699.8690747070312,2
1742661411874108700,700.0701086425781,27
1742661412074285000,700.27028515625,23
1742661412274197000,700.4701970214844,3
1742661412473068300,700.669068359375,10
1742661412672950300,700.8689501953126,8
1742661412873931500,701.069931640625,36
1742661413074152000,701.2701518554687,40
1742661413274102300,701.4701022949218,31
1742661413474275300,701.670275390625,25
1742661413674255600,701.8702556152343,18
1742661413874146000,702.0701459960937,15
1742661414074006000,702.2700061035156,11
1742661414273919700,702.4699196777344,9
1742661414874237400,703.0702375488281,19
1742661415072943400,703.268943359375,2
1742661415273498400,703.4694982910156,16
1742661415473936400,703.6699362792968,11
1742661415674180000,703.8701801757812,1
1742661415874105300,704.0701052246094,6
1742661416072980500,704.26898046875,1
1742661416274259000,704.4702590332031,2
1742661416474111200,704.670111328125,5
1742661416674065000,704.8700649414062,9
1742661416873923800,705.069923828125,12
1742661417074151000,705.2701508789063,20
1742661417274095400,705.4700954589844,2
1742661417474251800,705.6702517089843,22
1742661417674249500,705.8702495117187,8
1742661417874135600,706.0701354980469,7
1742661418073907200,706.2699072265625,8
1742661418274101000,706.4701010742187,24
1742661418474139600,706.6701396484375,1
1742661418674223900,706.8702238769531,23
1742661418874238200,707.07023828125,12
1742661419073035500,707.2690354003906,1
1742661419273491500,707.4694914550781,3
1742661419473938000,707.6699379882813,15
1742661419674124800,707.8701247558594,17
1742661419874115800,708.0701157226563,19
1742661420074242000,708.2702419433593,5
1742661420274283800,708.4702836914063,1
1742661420472896500,708.668896484375,10
1742661420673905200,708.8699052734376,0
1742661420873495600,709.0694956054688,1
1742661421274227700,709.4702277832031,0
1742661421474269700,709.6702697753906,1
1742661422274096400,710.4700964355469,2
1742661422474116600,710.6701166992187,3
1742661422674215700,710.8702155761719,0
1742661423874211300,712.0702114257813,2
1742661424074276900,712.2702768554688,5
1742661424472944000,712.6689440917969,3
1742661424673939700,712.8699396972656,2
1742661424873921500,713.0699216308594,1
1742661425474264600,713.6702646484375,0
1742661428274127400,716.4701274414062,1
1742661428474051300,716.6700512695312,0
1742661429674154500,717.8701545410156,1
1742661430274097200,718.4700971679688,2
1742661430474240000,718.6702399902343,1
1742661430873036000,719.0690361328125,2
1742661431072947000,719.2689470214843,3
1742661431874201000,720.070201171875,7
1742661432274165500,720.4701655273437,3
1742661432473902000,720.6699020996094,4
1742661432673517800,720.8695178222656,12
1742661432874131500,721.0701313476562,3
1742661433273076200,721.469076171875,11
1742661433472977400,721.6689772949219,5
1742661433672959000,721.868958984375,7
1742661433872993300,722.0689931640625,11
1742661434074176500,722.2701765136719,9
1742661434274136300,722.4701362304687,8
1742661434472978000,722.6689780273438,6
1742661434674279000,722.8702788085938,7
1742661434874170600,723.0701706542969,10
1742661435073907000,723.2699069824218,1
1742661435272965000,723.4689650878906,5
1742661435474147800,723.6701479492187,7
1742661436073050400,724.2690502929687,8
1742661436473929200,724.6699291992187,10
1742661436674129200,724.8701291503907,16
1742661436874101500,725.0701015625,5
1742661437074274600,725.2702746582031,6
1742661437274226400,725.4702263183593,7
1742661437474147600,725.6701477050781,41
1742661437674019000,725.8700190429688,162
1742661437873933000,726.0699331054687,107
1742661438074156500,726.2701564941407,125
1742661438274114800,726.4701147460937,239
1742661438474277000,726.6702770996094,285
1742661438672961300,726.8689611816407,216
1742661438874213000,727.0702131347656,189
1742661439073914000,727.2699140625,167
1742661439274136300,727.4701362304687,112
1742661439474145500,727.6701455078125,17
1742661439674253600,727.8702536621093,8
1742661439874232300,728.070232421875,12
1742661440074191600,728.2701916503906,11
1742661440274018300,728.4700183105468,1
1742661440674192400,728.8701923828125,0
1742662671054103300,1959.2501032714845,16
1742662671254114600,1959.450114501953,12
1742662671454089500,1959.6500893554687,0
1742662672054104600,1960.2501044921876,15
1742662672254102300,1960.4501022949219,0
1742662673053948700,1961.2499487304688,3
1742662673254109700,1961.4501096191407,5
1742662673454093800,1961.65009375,4
1742662673654110000,1961.8501098632812,42
1742662673854121500,1962.0501215820314,22
1742662674054190300,1962.2501904296876,1
1742662674254108200,1962.450108154297,0
1742662674654104800,1962.8501047363281,3
1742662674854113800,1963.0501137695312,1
1742662675054102800,1963.2501027832031,0
1742662687454214100,1975.650214111328,1
1742662687654167600,1975.8501674804688,0
1742662688654298000,1976.8502980957032,1
1742662689254107400,1977.450107421875,0
1742662691654107400,1979.850107421875,1
1742662691853254400,1980.0492543945313,0
1742662696054193700,1984.2501936035155,1
1742662696254204700,1984.4502045898437,0
1742662696854238200,1985.05023828125,1
1742662697053977900,1985.2499777832031,0
1742662702454220300,1990.6502202148438,1
1742662702854179800,1991.0501799316405,0
1742662703254114300,1991.4501142578124,1
1742662704454094800,1992.6500947265624,0
1742662706454342700,1994.6503427734374,1
1742662706654107400,1994.850107421875,0
1742662706854089000,1995.0500888671875,1
1742662708254204200,1996.4502041015626,0
1742662713854120700,2002.0501206054687,1
1742662714254111700,2002.4501118164062,0
1742662714454187300,2002.6501872558595,1
1742662715654197000,2003.8501970214843,0
1742662716253787600,2004.4497875976563,1
1742662718254204000,2006.450203857422,0
1742662721454220000,2009.6502199707031,1
1742662721654220800,2009.850220703125,0
1742662723254231600,2011.4502314453125,1
1742662723854310100,2012.0503100585938,0
1742662729654108200,2017.8501081542968,1
1742662729854232600,2018.0502326660155,0
1742662734854208300,2023.050208251953,1
1742662737054219000,2025.2502189941406,0
1742662737654199300,2025.85019921875,1
1742662738054103600,2026.250103515625,2
1742662738454189300,2026.6501892089843,1
1742662739054184700,2027.2501848144532,0
1742662739254228500,2027.450228515625,1
1742662740254144500,2028.45014453125,0
1742662740654228500,2028.850228515625,1
1742662740854240300,2029.050240234375,0
1742662743254231300,2031.4502312011718,1
1742662743454208300,2031.650208251953,0
1742662743854258700,2032.0502587890626,1
1742662744054308000,2032.2503081054688,0
1742662746654225700,2034.8502255859376,1
1742662747254232600,2035.4502326660156,0
1742662747454214400,2035.6502143554687,1
1742662749254292500,2037.4502924804688,0
1742662749653595000,2037.849594970703,1
1742662750454224000,2038.650223876953,0
1742662751054496500,2039.2504965820312,1
1742662751454209000,2039.650208984375,0
1742662752054347500,2040.2503474121095,1
1742662753454339600,2041.6503395996094,0
1742662753654228700,2041.8502287597655,1
1742662754254117400,2042.4501174316406,6
1742662754454105000,2042.6501049804688,61
1742662754654116400,2042.850116455078,97
1742662754854013700,2043.050013671875,184
1742662755054113300,2043.25011328125,200
1742662755254124000,2043.4501240234374,85
1742662755454105600,2043.6501057128905,91
1742662755654121500,2043.8501215820313,170
1742662755854217000,2044.0502170410157,42
1742662756054099700,2044.250099609375,10
1742662756253834800,2044.4498347167969,53
1742662756454104000,2044.6501040039063,91
1742662756654108400,2044.8501083984374,51
1742662756854091300,2045.0500913085937,13
1742662757054105300,2045.2501052246093,2
1742662757254222000,2045.4502221679688,1
1742662757454089500,2045.6500893554687,0
1742662757653416700,2045.849416748047,1
1742662757854118100,2046.0501181640625,0
1742662758654290200,2046.850290283203,1
1742662758854240000,2047.0502399902343,0
1742662759654222600,2047.85022265625,1
1742662759854240000,2048.0502399902343,0
1742662762854011600,2051.05001171875,1
1742662763054154000,2051.250154052734,0
1742662769054097200,2057.2500971679688,1
1742662769254106600,2057.450106689453,0
1742662770053943000,2058.2499431152346,1
1742662770654099200,2058.8500991210935,0
1742662776653887200,2064.8498872070313,1
1742662777253809700,2065.4498095703125,2
1742662777454202600,2065.650202636719,16
1742662777654116400,2065.850116455078,31
1742662777853325600,2066.049325683594,43
1742662778054113500,2066.2501135253906,51
1742662778254132200,2066.450132324219,59
1742662778454104000,2066.650104003906,39
1742662778654115800,2066.850115722656,30
1742662778854188800,2067.0501887207033,32
1742662779054110700,2067.2501108398437,40
1742662779254303500,2067.450303466797,46
1742662779454102800,2067.6501027832032,42
1742662779654116000,2067.8501162109374,35
1742662779854125600,2068.050125488281,40
1742662780054108400,2068.2501083984375,50
1742662780254212900,2068.450212890625,49
1742662780454102800,2068.6501027832032,32
1742662780654145000,2068.8501450195313,28
1742662780854097200,2069.050097167969,33
1742662781054108700,2069.250108642578,36
1742662781254120700,2069.450120605469,19
1742662781454099000,2069.650098876953,8
1742662781654230800,2069.8502307128906,2
1742662781854122800,2070.050122802734,4
1742662782054106600,2070.2501066894533,8
1742662782254117600,2070.4501176757813,9
1742662782454101500,2070.6501015625,10
1742662782654114600,2070.850114501953,18
1742662782854097200,2071.050097167969,19
1742662783054231300,2071.250231201172,27
1742662783254121000,2071.4501208496094,32
1742662783454104600,2071.6501044921874,30
1742662783654108200,2071.850108154297,25
1742662783854121200,2072.0501213378907,29
1742662784054103800,2072.250103759766,23
1742662784254119200,2072.450119140625,11
1742662784454161000,2072.650160888672,5
1742662784654109000,2072.8501088867188,2
1742662784854080500,2073.0500805664065,0
1742662792854114600,2081.050114501953,1
1742662793054102800,2081.250102783203,5
1742662793254108700,2081.450108642578,3
1742662793454190800,2081.6501909179688,2
1742662793853843000,2082.049843017578,5
1742662794054100700,2082.2501008300783,7
1742662794454094600,2082.650094482422,5
1742662794654104300,2082.850104248047,4
1742662794854210300,2083.050210205078,6
1742662795454097000,2083.650096923828,4
1742662795654108200,2083.850108154297,1
1742662795854227000,2084.0502270507814,0
1742662796454089700,2084.65008984375,1
1742662797054111200,2085.250111328125,0
1742662799454218000,2087.650218017578,2
1742662800254114600,2088.450114501953,3
1742662800454220300,2088.6502202148436,2
1742662800654113800,2088.850113769531,1
1742662801654222600,2089.85022265625,0
1742662807054307000,2095.250307128906,1
1742662808054210600,2096.2502104492187,0
1742662808654208000,2096.8502080078124,1
1742662808853504000,2097.04950390625,0
1742662816054193200,2104.250193115234,1
1742662816654193200,2104.8501931152346,0
1742662818454090800,2106.6500908203125,1
1742662818654104600,2106.8501044921877,5
1742662818854087700,2107.0500876464844,10
1742662819054098400,2107.250098388672,14
1742662819254112000,2107.450112060547,13
1742662819454096400,2107.650096435547,6
1742662819654015000,2107.850014892578,5
1742662819854220500,2108.0502204589843,1
1742662820054188800,2108.250188720703,0
1742662820254200000,2108.4501999511717,1
1742662823853690600,2112.049690673828,0
1742662824254208000,2112.4502080078123,2
1742662824854310100,2113.050310058594,0
1742662825253916400,2113.449916503906,1
1742662828654243000,2116.8502431640627,2
1742662829054314000,2117.250313964844,1
1742662829654234600,2117.850234619141,2
1742662829854213000,2118.0502131347657,3
1742662830254108400,2118.4501083984374,4
1742662830454184400,2118.6501843261717,7
1742662830854274000,2119.050274169922,6
1742662831254113800,2119.450113769531,11
1742662831454098200,2119.650098144531,15
1742662831654100700,2119.850100830078,1
1742662831854237200,2120.0502373046875,0
1742662838254208000,2126.4502080078123,1
1742662838653749200,2126.8497492675783,5
1742662838854088000,2127.050087890625,7
1742662839054101000,2127.250101074219,6
1742662839254110500,2127.4501103515627,5
1742662839654201600,2127.8502016601565,6
1742662840053742800,2128.249742919922,5
1742662840254110500,2128.4501103515627,4
1742662840454090200,2128.650090332031,5
1742662840654107400,2128.850107421875,10
1742662840854117000,2129.0501171875,12
1742662841054192600,2129.2501926269533,5
1742662841254201600,2129.4502016601564,4
1742662841453723000,2129.6497229003908,2
1742662841654117400,2129.8501174316407,1
1742662841854099500,2130.0500993652345,0
1742663091684924000,2379.880923828125,3
1742663091884114700,2380.080114746094,2
1742663092084125700,2380.2801257324218,3
1742663092284140000,2380.4801401367185,2
1742663092484217900,2380.6802177734376,4
1742663092883776500,2381.0797766113283,3
1742663093284149500,2381.4801494140625,4
1742663093484125200,2381.6801252441405,3
1742663093684146700,2381.8801467285157,4
1742663094083795000,2382.279794921875,3
1742663094284198400,2382.480198486328,5
1742663094484118300,2382.6801181640626,1
1742663094684130300,2382.880130371094,0
1742663095483763700,2383.679763671875,1
1742663096484220400,2384.6802204589844,0
1742663100084131600,2388.280131591797,1
1742663100284246300,2388.4802463378905,0
1742663100884234500,2389.080234375,1
1742663101884209700,2390.080209716797,0
